,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
0,3985710,Cabo San Lucas,MX,22.8909,-109.9124,77.32,38,0,4.61
1,1507679,Chulym,RU,55.0997,80.9572,12.94,94,100,11.34
2,2206939,Bluff,NZ,-46.6,168.3333,59.58,76,19,16.91
3,3652764,Puerto Ayora,EC,-0.7393,-90.3518,77.56,91,88,5.01
4,3369157,Cape Town,ZA,-33.9258,18.4232,74.3,67,6,13.0
5,2670781,Sundsvall,SE,62.3913,17.3063,13.96,92,0,4.61
6,6201424,Mataura,NZ,-46.1927,168.8643,58.32,80,100,5.17
7,1503037,Kodinsk,RU,58.6881,99.1844,-2.43,99,100,3.71
8,5380437,Pacific Grove,US,36.6177,-121.9166,48.87,89,100,11.99
9,3831208,Qaanaaq,GL,77.484,-69.3632,-8.88,50,76,5.17
10,5848280,Kapaa,US,22.0752,-159.319,76.64,77,0,5.75
11,4030556,Rikitea,PF,-23.1203,-134.9692,77.29,71,9,8.3
12,6355222,Yulara,AU,-25.2406,130.9889,81.66,44,3,5.46
13,3466704,Castro,BR,-24.7911,-50.0119,75.9,81,96,2.08
14,2155415,New Norfolk,AU,-42.7826,147.0587,58.5,92,18,1.9
15,1490256,Talnakh,RU,69.4865,88.3972,-35.12,86,3,4.34
16,3366880,Hermanus,ZA,-34.4187,19.2345,73.8,82,26,18.48
17,1507565,Dalmatovo,RU,56.26,62.9362,6.15,83,14,7.2
18,2338660,Yaan,NG,7.3833,8.5667,83.8,16,98,5.73
19,2522890,Tortolì,IT,39.9256,9.6572,54.27,76,100,13.29
20,3359638,Walvis Bay,NA,-22.9575,14.5053,72.55,68,89,0.0
21,2264557,Ponta do Sol,PT,32.6667,-17.1,60.82,59,14,7.78
22,2123814,Leningradskiy,RU,69.3833,178.4167,-33.79,98,20,5.53
23,1649150,Bengkulu,ID,-3.8004,102.2655,74.98,91,100,4.29
24,1270854,Govindgarh,IN,27.5,76.9833,42.48,50,0,3.85
25,1651810,Airai,TL,-8.9266,125.4092,60.33,90,100,1.34
26,2993874,Arrondissement de Millau,FR,44.0833,2.9167,39.02,99,100,7.05
27,3833367,Ushuaia,AR,-54.8,-68.3,53.22,44,88,10.16
28,1282256,Hithadhoo,MV,-0.6,73.0833,79.77,67,13,4.56
29,876177,Luau,AO,-10.7073,22.2247,62.98,98,100,2.66
30,3471451,Arraial do Cabo,BR,-22.9661,-42.0278,80.46,69,0,21.85
31,964432,Port Alfred,ZA,-33.5906,26.891,70.18,98,99,1.01
32,2315057,Kasangulu,CD,-4.5911,15.1708,69.75,93,91,2.26
33,1106677,Bambous Virieux,MU,-20.3428,57.7575,78.22,74,95,16.2
34,2015306,Tiksi,RU,71.6872,128.8694,-22.58,100,100,8.08
35,4034551,Faanui,PF,-16.4833,-151.75,79.27,63,92,13.44
36,1056899,Sambava,MG,-14.2667,50.1667,75.56,88,100,8.28
37,3372707,Ribeira Grande,PT,38.5167,-28.7,54.0,76,20,11.01
38,102527,Sakakah,SA,29.9697,40.2064,51.37,81,3,11.39
39,964420,Port Elizabeth,ZA,-33.918,25.5701,71.6,94,100,12.66
40,5882953,Aklavik,CA,68.2191,-135.0107,-13.36,99,100,2.1
41,2075265,Busselton,AU,-33.65,115.3333,51.35,71,10,8.43
42,3625710,Upata,VE,8.0086,-62.3989,85.19,51,96,2.04
43,3837702,San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,91.78,32,14,10.0
44,1819729,Hong Kong,HK,22.2855,114.1577,53.08,83,100,10.0
45,2074865,Carnarvon,AU,-24.8667,113.6333,71.4,67,0,24.54
46,3354071,Oranjemund,NA,-28.55,16.4333,65.41,92,94,6.08
47,1486321,Yar-Sale,RU,66.8333,70.8333,0.99,97,100,12.1
48,2138555,Poum,NC,-20.2333,164.0167,79.18,72,100,12.39
49,2122614,Okha,RU,53.5739,142.9478,-35.12,99,38,5.75
50,6620339,Karratha,AU,-20.7377,116.8463,81.68,76,58,11.14
51,2109528,Buala,SB,-8.145,159.5921,80.2,78,100,3.24
52,2126199,Cherskiy,RU,68.75,161.3,-39.15,96,100,3.85
53,546105,Nikolskoye,RU,59.7035,30.7861,37.09,85,100,11.32
54,3374083,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,10.36
55,5855927,Hilo,US,19.7297,-155.09,79.54,69,0,8.01
56,3466165,Cidreira,BR,-30.1811,-50.2056,76.03,77,96,11.32
57,3982292,Tayoltita,MX,24.0833,-105.9333,74.14,18,0,6.91
58,2163355,Hobart,AU,-42.8794,147.3294,58.86,77,75,8.05
59,1811542,Fangshan,CN,39.6983,115.9925,26.13,32,95,2.1
60,2121385,Severo-Kuril'sk,RU,50.6789,156.125,15.26,65,50,7.36
61,5106841,Albany,US,42.6001,-73.9662,32.59,54,87,6.04
62,4946620,Palmer,US,42.1584,-72.3287,33.48,63,100,17.27
63,4035715,Avarua,CK,-21.2078,-159.775,78.85,78,6,3.44
64,3580279,Gouyave,GD,12.1646,-61.7296,81.37,74,20,0.0
65,209598,Manono,CD,-7.3,27.4167,69.62,91,100,2.93
66,5720495,Coos Bay,US,43.3665,-124.2179,47.21,90,0,3.44
67,6453316,Tromsø,NO,69.6496,18.957,28.42,80,75,11.5
68,1791247,Wuhan,CN,30.5833,114.2667,33.89,44,8,1.81
69,1503527,Khovu-Aksy,RU,51.1333,93.6,-2.2,87,100,6.64
70,5122534,Jamestown,US,42.097,-79.2353,45.36,29,0,0.0
71,6185377,Yellowknife,CA,62.456,-114.3525,-2.45,98,95,5.99
72,368246,Raja,SS,8.4596,25.678,74.03,26,21,5.01
73,5880054,Barrow,US,71.2906,-156.7887,-21.98,76,20,13.8
74,3874787,Punta Arenas,CL,-53.15,-70.9167,55.33,30,0,35.68
75,2126123,Chokurdakh,RU,70.6333,147.9167,-25.01,96,55,11.56
76,1015776,Bredasdorp,ZA,-34.5322,20.0403,70.57,87,99,17.45
77,6170031,Tuktoyaktuk,CA,69.4541,-133.0374,-9.83,98,100,7.45
78,3120514,Huesca,ES,42.1362,-0.4087,41.05,97,100,4.61
79,2643044,Margate,GB,51.3813,1.3862,34.99,75,80,7.0
80,1788852,Xining,CN,36.6167,101.7667,5.52,96,99,1.34
81,2070998,Geraldton,AU,-28.7667,114.6,61.21,77,0,11.5
82,3408368,Acaraú,BR,-2.8856,-40.12,79.97,74,100,11.83
83,2022773,Khandyga,RU,62.6667,135.6,-52.15,100,100,1.28
84,3354077,Opuwo,NA,-18.0607,13.84,72.99,66,100,9.53
85,1280037,Shache,CN,38.4167,77.2406,-4.88,96,12,2.39
86,513329,Ozinki,RU,51.1786,49.6769,14.97,93,20,11.9
87,935215,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,19,11.05
88,1489853,Tazovsky,RU,67.4667,78.7,-26.27,98,16,6.33
89,3444924,Vitória,BR,-20.3194,-40.3378,80.85,76,40,16.11
90,3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,65.84,45,100,11.68
91,162627,Yabrūd,SY,33.9674,36.6574,38.68,74,100,1.7
92,3981391,Tomatlán,MX,19.9333,-105.25,88.99,17,100,8.68
93,3421719,Narsaq,GL,60.9167,-46.05,5.22,70,4,10.38
94,1006984,East London,ZA,-33.0153,27.9116,75.25,91,69,7.02
95,1529484,Kumul,CN,42.8,93.45,12.74,41,0,0.96
96,3943957,Chilca,PE,-12.5211,-76.7372,72.55,76,13,7.92
97,2322794,Suleja,NG,9.1758,7.1808,77.99,16,100,4.38
98,2541479,Nador,MA,35.174,-2.9287,61.05,63,0,16.11
99,5975004,High Level,CA,58.5169,-117.136,15.91,100,100,8.05
100,4020109,Atuona,PF,-9.8,-139.0333,77.38,77,100,14.38
101,6113406,Prince Rupert,CA,54.3161,-130.3201,41.07,93,100,12.66
102,3761194,Miraflores,MX,19.2167,-98.8083,72.16,20,20,4.03
103,2134814,Sola,VU,-13.8833,167.55,75.87,100,100,0.0
104,2521582,Arona,ES,28.0996,-16.681,59.52,66,20,17.27
105,337405,Gambēla,ET,8.25,34.5833,79.48,42,37,3.06
106,371745,Kutum,SD,14.2,24.6667,61.34,23,76,10.96
107,1214658,Lhokseumawe,ID,5.1801,97.1507,76.33,84,100,5.26
108,2112802,Hasaki,JP,35.7333,140.8333,32.4,55,67,13.2
109,7341918,Moba,CN,33.2288,105.0179,19.31,30,100,3.8
110,986717,Kruisfontein,ZA,-34.0033,24.7314,71.89,91,100,12.41
111,110690,Faya,SA,18.3851,42.4509,55.92,73,38,5.23
112,2630299,Hofn,IS,64.2539,-15.2082,29.95,59,100,22.24
113,3380290,Sinnamary,GF,5.3833,-52.95,77.65,84,47,9.46
114,3443061,Chui,UY,-33.6971,-53.4616,79.65,48,0,13.42
115,338345,Edd,ER,13.9297,41.6925,80.8,53,3,16.73
116,1526038,Atbasar,KZ,51.8,68.3333,-1.75,81,26,4.92
117,1523662,Kachīry,KZ,53.0675,76.1036,13.46,93,87,11.79
118,1254046,Tura,IN,25.5198,90.2201,51.49,51,0,2.33
119,3421765,Nanortalik,GL,60.1432,-45.2371,9.46,59,5,20.38
120,608270,Shubarshi,KZ,48.5872,57.1869,9.16,74,36,8.41
121,1631637,Pemangkat,ID,1.1667,108.9667,75.88,86,34,7.65
122,2035980,Longfeng,CN,46.55,125.1167,-5.58,80,31,6.71
123,3105522,Bereda,ES,43.2686,-7.5406,51.15,100,100,14.54
124,2015913,Suntar,RU,62.1444,117.6319,-36.26,97,100,5.14
125,5282297,Bethel,US,41.3712,-73.414,38.43,53,0,16.11
126,1623197,Tual,ID,-5.6667,132.75,83.03,72,100,6.15
127,3421193,Paamiut,GL,61.994,-49.6678,3.97,85,100,13.87
128,732285,Devin,BG,41.7433,24.4,39.54,94,100,7.47
129,2110227,Butaritari,KI,3.0707,172.7902,80.87,78,17,16.06
130,1500764,Lebyazh'ye,RU,55.2689,66.4947,9.95,85,98,9.37
131,2065594,Mount Isa,AU,-20.7333,139.5,74.97,83,75,5.75
132,524299,Murmashi,RU,68.8154,32.8115,32.41,100,75,13.42
133,2173125,Burnie,AU,-41.0667,145.9167,62.94,74,100,13.62
134,3540618,San Diego de Los Baños,CU,22.6467,-83.3697,76.19,36,0,5.48
135,4032243,Vaini,TO,-21.2,-175.2,80.58,76,32,8.08
136,2312895,Mbandaka,CD,0.0487,18.2603,74.25,81,100,3.87
137,5197850,Lewistown,US,40.5992,-77.5714,49.23,61,0,4.61
138,1526384,Boralday,KZ,43.3578,76.8594,-0.54,85,4,4.47
139,1028918,Pemba,MZ,-12.974,40.5178,77.7,94,40,5.75
140,915471,Kalabo,ZM,-14.97,22.6814,67.59,94,100,4.74
141,934322,Mahébourg,MU,-20.4081,57.7,79.09,78,40,11.5
142,3393536,Olinda,BR,-8.0089,-34.8553,82.13,69,40,6.91
143,1181439,Charsadda,PK,34.1435,71.7317,43.41,25,0,4.54
